# generate_3phase_trajectory.py output
# source: neso_trajectory.csv
"# cli   : generate_3phase_trajectory.py neso_trajectory.csv --thd-var 1.5,2.5,3.5 --mag-var 1,1,1 --out-prefix neso_3phase_thd_varied"
"# Va_thd_pct=1.5000, Vb_thd_pct=2.5000, Vc_thd_pct=3.5000"
"# Va_amp_frac=1.000000, Vb_amp_frac=1.000000, Vc_amp_frac=1.000000"
replay_index,f_target_hz,Va_amp_frac,Vb_amp_frac,Vc_amp_frac,Va_thd_pct,Vb_thd_pct,Vc_thd_pct
305,49.957000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
306,49.958000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
307,49.952000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
308,49.959000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
309,49.959000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
310,49.961000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
311,49.962000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
312,49.963000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
313,49.967000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
314,49.971000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
315,49.973000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
316,49.974000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
317,49.976000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
318,49.978000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
319,49.980000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
320,49.983000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
321,49.985000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
322,49.988000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
323,49.990000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
324,49.992000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
325,49.994000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
326,49.997000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
327,50.001000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
328,50.006000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
329,50.010000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
330,50.012000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
331,50.014000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
332,50.010000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
333,50.016000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
334,50.019000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
335,50.022000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
336,50.022000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
337,50.024000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
338,50.024000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
339,50.027000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
340,50.031000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
341,50.034000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
342,50.036000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
343,50.040000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
344,50.043000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
345,50.044000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
346,50.048000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
347,50.048000,1.000000,1.000000,1.000000,1.5000,2.5000,3.5000
